dist,url,area,name,type,spawns,coins,cost,icon,item,id,price,file,type,ytStart
0.0005915357562276741,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-20440.514&lng=9824.729&zoom=5,Map,Chest2,Chest_C,BuySwordDamage+1_C,,,sword_damage,Sword Damage +1,Chest2,,chests,powerup,1166
0.00021901359949385365,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-26292.451&lng=-1787.864&zoom=5,Map,Chest4_1544,Chest_C,BuySwordCriticalDamageChance_C,,,sword_damage,Sword Critical Damage Chance +5%,Chest4,,chests,powerup,
0.00043032622931254766,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-12127.81&lng=15246.124&zoom=5,Map,Chest5_1955,Chest_C,BuyShowHealthbar_C,,,see_health_bar,Health Bar,Chest5,,chests,powerup,752
0.0005031638195134119,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-21310.824&lng=23339.314&zoom=5,Map,Chest6_710,Chest_C,BuyArmor1_C,,,armor,Armor,Chest6,,chests,powerup,22585
0.00042990051682612545,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-17338.869&lng=17812.566&zoom=5,Map,Chest7_818,Chest_C,BuyHeartLuck_C,,,loot_luck,Loot Luck,Chest7,,chests,powerup,
0.00018557771155835968,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-23085.871&lng=4222.514&zoom=5,Map,Chest8_878,Chest_C,BuySwordDamage+3_C,,,sword_damage,Sword Damage +3,Chest8,,chests,powerup,
0.000262433797906147,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-34133.496&lng=632.224&zoom=5,Map,Chest11_13130,Chest_C,BuyNumberRising_C,,,see_enemy_health,Enemy Health,Chest11,,chests,powerup,
0.0001713415000342085,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-24524.422&lng=11393.255&zoom=5,Map,Chest12_686,Chest_C,BuyHealthRegenMax5_C,,,health_regen_max,Health Regeneration +5,Chest12,,chests,powerup,
0.0004290878270412701,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-26135.199&lng=3358.922&zoom=5,Map,Chest13_410,Chest_C,BuySwordDamage+02_C,,,sword_damage,Sword Damage +2,Chest13,,chests,powerup,
0.00014405538366044313,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-28263.457&lng=23463.631&zoom=5,Map,Chest14_1121,Chest_C,BuyGun1_C,,,gun_red_wood,Mighty MacGuffin,Chest14,,chests,powerup,2234
0.00020009762885629686,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-37346.328&lng=-36853.715&zoom=5,Map,Chest16_5090,Chest_C,BuyGunAltDamagex2_C,,,gun_upgrade,Gun Alt Damage x2,Chest16,,chests,powerup,6329
0.0,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-25065&lng=24425&zoom=5,Map,Chest17_812,Chest_C,BuySwordDamage+1_C,,,sword_damage,Sword Damage +1,Chest17,,chests,powerup,
0.0,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-34330&lng=15830&zoom=5,Map,Chest18_812,Chest_C,BuySwordDamage+02_C,,,sword_damage,Sword Damage +2,Chest18,,chests,powerup,
0.0003955934016189579,https://supragamescommunity.github.io/maps/#mapId=sl&lat=-16721.475&lng=23511.664&zoom=5,Map,Chest19_6182,Chest_C,BuyForceBlockTelefrag_C,,,force_cube,Force Cube Telefrag,Chest19,,chests,powerup,18653
