dist,url,area,name,type,spawns,coins,cost,icon,item,id,price,file,type,ytStart
0.0023289637747793295,https://supragamescommunity.github.io/maps/#mapId=siu&lat=-11150.016&lng=-58828.664&zoom=5,DLC2_Complete,ChestAreaEnd_78,Coin:Chest_C,,5,,chest_coin,5,,,chests,coin,4476
0.00046140072135768067,https://supragamescommunity.github.io/maps/#mapId=siu&lat=-44532.316&lng=-58354.324&zoom=5,DLC2_PostRainbow,Chest2_2,Coin:Chest_C,,1,,chest_coin,1,,,chests,coin,12578
203.5667541640307,https://supragamescommunity.github.io/maps/#mapId=siu&lat=-29248&lng=-49024&zoom=5,DLC2_Complete,Chest8_5,Coin:Chest_C,,10,,chest_coin,10,,,chests,coin,4950
595.2538122241698,https://supragamescommunity.github.io/maps/#mapId=siu&lat=-47592&lng=-48232&zoom=5,DLC2_PostRainbow,Chest3_9,Coin:Chest_C,,10,,chest_coin,10,,,chests,coin,12384
0.0013501900996639603,https://supragamescommunity.github.io/maps/#mapId=siu&lat=-5115.867&lng=-48166.148&zoom=5,DLC2_Complete,ChestAreaEnd_75,Coin:Chest_C,,20,,chest_coin,20,,,chests,coin,4642
2.1581908495484825,https://supragamescommunity.github.io/maps/#mapId=siu&lat=-1615.784&lng=-16382.6&zoom=5,DLC2_SecretLavaArea,Chest2_2,Coin:Chest_C,,30,,chest_coin,30,,,chests,coin,10855
1.9074989816167185,https://supragamescommunity.github.io/maps/#mapId=siu&lat=1171.981&lng=-12601.178&zoom=5,DLC2_SecretLavaArea,SecretLavaArea_Chest12_6,Coin:Chest_C,,5,,chest_coin,5,,,chests,coin,10855
2.212169594415235,https://supragamescommunity.github.io/maps/#mapId=siu&lat=-3181.666&lng=-11263.504&zoom=5,DLC2_SecretLavaArea,SecretLavaArea_Chest11,Coin:Chest_C,,5,,chest_coin,5,,,chests,coin,11083
0.0003636171178687828,https://supragamescommunity.github.io/maps/#mapId=siu&lat=-46992.613&lng=-4894.136&zoom=5,DLC2_Complete,Chest4_2,Coin:Chest_C,,10,,chest_coin,10,,,chests,coin,8368
9.66796874308784e-05,https://supragamescommunity.github.io/maps/#mapId=siu&lat=-49097.5&lng=-1796.449&zoom=5,DLC2_Complete,ChestArea3_53,Coin:Chest_C,,15,,chest_coin,15,,,chests,coin,8246
2.029041126453215,https://supragamescommunity.github.io/maps/#mapId=siu&lat=-5126.461&lng=-1243.687&zoom=5,DLC2_SecretLavaArea,SecretLavaArea_Chest06,Coin:Chest_C,,5,,chest_coin,5,,,chests,coin,11219
1.2557389175077176,https://supragamescommunity.github.io/maps/#mapId=siu&lat=2451.224&lng=-727.012&zoom=5,DLC2_SecretLavaArea,SecretLavaArea_Chest04,Coin:Chest_C,,5,,chest_coin,5,,,chests,coin,10684
0.19683456645364267,https://supragamescommunity.github.io/maps/#mapId=siu&lat=15620.066&lng=-466.064&zoom=5,DLC2_SecretLavaArea,SecretLavaArea_Chest09,Coin:Chest_C,,5,,chest_coin,5,,,chests,coin,11487
